Taxon,TipLabel,IsKeySample
5MT316, USA _ Dog Fossil,FALSE
5MT520, USA _ Dog Fossil,FALSE
CAO1, USA _ Dog Fossil,FALSE
CIAS, USA _ Dog Fossil,FALSE
AM474, USA _ Dog Fossil,FALSE
May10, Mexico _ Dog Fossil,FALSE
May4, Mexico _ Dog Fossil,FALSE
May3, Mexico _ Dog Fossil,FALSE
May2, Mexico _ Dog Fossil,FALSE
JBG13, USA _ Dog Fossil,FALSE
JBG17, USA _ Dog Fossil,FALSE
CISG, USA _ Dog Fossil,FALSE
AL3226, USA _ Dog Fossil,FALSE
ISM172, USA _ Dog Fossil,FALSE
5MT501, USA _ Dog Fossil,FALSE
AL3223, USA _ Dog Fossil,FALSE
AM310A, USA _ Dog Fossil,FALSE
AL3194," Canada _ Dog Fossil_ Port au Choix, Newfoundland, 4402-3912 cal BP",TRUE
ISM070, USA _ Dog Fossil,FALSE
ISM256," USA _ Dog Fossil_ Koster, Illinois_10110-9680 cal BP",TRUE
ISM357," USA _ Dog Fossil_ Koster, Illinois_10110-9680 cal BP",TRUE
jbg1m, USA _ Dog Fossil,FALSE
AL2772, USA _ Dog Fossil,FALSE
OSU626, USA _ Dog Fossil,FALSE
AM310B, USA _ Dog Fossil,FALSE
JBG32, USA _ Dog Fossil,FALSE
JBG45, USA _ Dog Fossil,FALSE
Cox6, USA _ Dog Fossil,FALSE
FR11, USA _ Dog Fossil,FALSE
OSU611, USA _ Dog Fossil,FALSE
ISM090," USA _ Dog Fossil_Modoc, Missouri_8560-8210 cal BP",TRUE
LB2, USA _ Dog Fossil,FALSE
P35, USA _ Dog Fossil,FALSE
P59, USA _ Dog Fossil,FALSE
OSU622, USA _ Dog Fossil,FALSE
AL3198, USA _ Dog Fossil,FALSE
LR742734, Alaska _ Dog Fossil,FALSE
LR742742," Alaska _ Dog Fossil_Cape Espenberg, Kotzebue Sound_~950 BP",TRUE
LR742853, Northwest Territories _ Dog Fossil,FALSE
LR742739, Alaska _ Wolf Fossil,FALSE
LR742764, Alaska _ Dog Fossil,FALSE
LR742761, Alaska _ Dog Fossil,FALSE
PRD1, Canada _ Dog Fossil,FALSE
CINHA, USA _ Dog Fossil,FALSE
LR742736, Alaska _ Dog Fossil,FALSE
LR742792, Russia _ Dog Fossil,FALSE
LR742849, Nunavat _ Dog Fossil,FALSE
LR742852, Nortwest Territories _ Dog Fossil,FALSE
LR742848, Nunavat _ Dog Fossil,FALSE
LR742794, Russia _ Dog Fossil,FALSE
LR745091, Russia _ Dog Fossil,FALSE
LR742735, Alaska _ Dog Fossil,FALSE
LR742858, Nunavat _ Dog Fossil,FALSE
CICVD, USA _ Dog Fossil,FALSE
CINH7, USA _ Dog Fossil,FALSE
CGG1," Russia _ Dog Fossil_ Zhokhov site, Zhokhov island, New Siberian Islands_8775-9015 cal BP",TRUE
LR742748, Alaska _  Dog Fossil,FALSE
LR742765, Alaska _ Dog Fossil,FALSE
LR745138, Greenland _ Dog Fossil,FALSE
LR742831, Greenland _ Dog Fossil,FALSE
LR745161, Greenland _ Dog Fossil,FALSE
LR742872, Canada _ Dog Fossil,FALSE
LR742818, Greenland _ Dog Fossil,FALSE
LR745137, Greenland _ Dog Fossil,FALSE
LR745188, Greenland _ Dog Fossil,FALSE
LR742875, Canada _ Dog Fossil,FALSE
LR742808, Greenland _ Dog Fossil,FALSE
LR742819, Greenland _ Dog Fossil,FALSE
LR742847, Labrador _ Dog Fossil,FALSE
LR742828, Greenland _ Dog Fossil,FALSE
LR742832, Greenland _ Dog Fossil,FALSE
LR742874, Canada _ Dog Fossil,FALSE
LR745162, Greenland _ Dog Fossil,FALSE
LR742811, Greenland _ Dog Fossil,FALSE
LR742812, Greenland _ Dog Fossil,FALSE
LR742830, Greenland _ Dog Fossil,FALSE
LR742851, Nunavat _ Dog Fossil,FALSE
LR742855, Northwest Territories _ Dog Fossil,FALSE
LR742850, Nunavat _ Dog Fossil,FALSE
LR742813, Greenland _ Dog Fossil,FALSE
LR742815, Greenland _ Dog Fossil,FALSE
LR742843, Greenland _ Dog Fossil,FALSE
LR745129, Nunavat _ Dog Fossil,FALSE
LR742814, Greenland _ Dog Fossil,FALSE
LR742822, Greenland _ Dog Fossil,FALSE
LR745175, Canada _ Dog Fossil,FALSE
